storm,year,month,fips,TotalResLoss,BuildingLoss
Ivan,2004,Sep,01001,6576990,5090000
Ivan,2004,Sep,01003,1826789032,1204069000
Ivan,2004,Sep,01005,323000,156000
Ivan,2004,Sep,01007,1257000,697000
Ivan,2004,Sep,01009,321000,148000
Ivan,2004,Sep,01011,333000,187000
Ivan,2004,Sep,01013,7429922,5154000
Ivan,2004,Sep,01015,2727000,1592000
Ivan,2004,Sep,01017,916000,461000
Ivan,2004,Sep,01019,473000,258000
Ivan,2004,Sep,01021,4138000,2808000
Ivan,2004,Sep,01023,3100997,2216000
Ivan,2004,Sep,01025,13377709,9511000
Ivan,2004,Sep,01027,668000,373000
Ivan,2004,Sep,01029,489000,230000
Ivan,2004,Sep,01031,4409997,3291000
Ivan,2004,Sep,01033,0,0
Ivan,2004,Sep,01035,10753644,7749000
Ivan,2004,Sep,01037,882000,502000
Ivan,2004,Sep,01039,10505910,7528000
Ivan,2004,Sep,01041,1982000,1328000
Ivan,2004,Sep,01043,0,0
Ivan,2004,Sep,01045,1424000,700000
Ivan,2004,Sep,01047,8234901,6475000
Ivan,2004,Sep,01049,677000,381000
Ivan,2004,Sep,01051,6024000,4046000
Ivan,2004,Sep,01053,82896978,56673000
Ivan,2004,Sep,01055,1320000,585000
Ivan,2004,Sep,01057,0,0
Ivan,2004,Sep,01059,0,0
Ivan,2004,Sep,01061,1888000,1222000
Ivan,2004,Sep,01063,263000,144000
Ivan,2004,Sep,01065,936000,646000
Ivan,2004,Sep,01067,130000,55000
Ivan,2004,Sep,01069,727000,112000
Ivan,2004,Sep,01071,0,0
Ivan,2004,Sep,01073,14021000,6963000
Ivan,2004,Sep,01075,0,0
Ivan,2004,Sep,01077,0,0
Ivan,2004,Sep,01079,0,0
Ivan,2004,Sep,01081,2317000,879000
Ivan,2004,Sep,01083,0,0
Ivan,2004,Sep,01085,2120991,1567000
Ivan,2004,Sep,01087,406000,191000
Ivan,2004,Sep,01089,0,0
Ivan,2004,Sep,01091,2401996,1759000
Ivan,2004,Sep,01093,0,0
Ivan,2004,Sep,01095,12000,3000
Ivan,2004,Sep,01097,833653130,587832000
Ivan,2004,Sep,01099,28820831,20888000
Ivan,2004,Sep,01101,11098000,8535000
Ivan,2004,Sep,01103,0,0
Ivan,2004,Sep,01105,1117998,790000
Ivan,2004,Sep,01107,0,0
Ivan,2004,Sep,01109,1371000,872000
Ivan,2004,Sep,01111,659000,381000
Ivan,2004,Sep,01113,49000,28000
Ivan,2004,Sep,01115,2464000,1196000
Ivan,2004,Sep,01117,8774000,4992000
Ivan,2004,Sep,01119,363000,200000
Ivan,2004,Sep,01121,5728000,3506000
Ivan,2004,Sep,01123,2820000,1378000
Ivan,2004,Sep,01125,4281000,2121000
Ivan,2004,Sep,01127,91000,43000
Ivan,2004,Sep,01129,12432833,8115000
Ivan,2004,Sep,01131,9552767,6750000
Ivan,2004,Sep,01133,0,0
Ivan,2004,Sep,12005,10513997,6769000
Ivan,2004,Sep,12013,435000,219000
Ivan,2004,Sep,12033,1280234259,847051000
Ivan,2004,Sep,12037,355000,191000
Ivan,2004,Sep,12039,0,0
Ivan,2004,Sep,12045,884000,443000
Ivan,2004,Sep,12059,1441000,802000
Ivan,2004,Sep,12063,610000,233000
Ivan,2004,Sep,12073,0,0
Ivan,2004,Sep,12077,150000,69000
Ivan,2004,Sep,12091,150158707,106928000
Ivan,2004,Sep,12113,433833616,305460000
Ivan,2004,Sep,12129,0,0
Ivan,2004,Sep,12131,27186585,18804000
Ivan,2004,Sep,12133,760000,370000
Ivan,2004,Sep,28001,0,0
Ivan,2004,Sep,28003,0,0
Ivan,2004,Sep,28005,0,0
Ivan,2004,Sep,28007,0,0
Ivan,2004,Sep,28009,0,0
Ivan,2004,Sep,28011,0,0
Ivan,2004,Sep,28013,0,0
Ivan,2004,Sep,28015,0,0
Ivan,2004,Sep,28017,0,0
Ivan,2004,Sep,28019,0,0
Ivan,2004,Sep,28021,0,0
Ivan,2004,Sep,28023,709000,352000
Ivan,2004,Sep,28025,0,0
Ivan,2004,Sep,28027,0,0
Ivan,2004,Sep,28029,0,0
Ivan,2004,Sep,28031,0,0
Ivan,2004,Sep,28033,0,0
Ivan,2004,Sep,28035,1489000,754000
Ivan,2004,Sep,28037,0,0
Ivan,2004,Sep,28039,25731668,15432000
Ivan,2004,Sep,28041,7872000,4622000
Ivan,2004,Sep,28043,0,0
Ivan,2004,Sep,28045,3211000,1810000
Ivan,2004,Sep,28047,53063763,33529000
Ivan,2004,Sep,28049,0,0
Ivan,2004,Sep,28051,0,0
Ivan,2004,Sep,28053,0,0
Ivan,2004,Sep,28055,0,0
Ivan,2004,Sep,28057,0,0
Ivan,2004,Sep,28059,183541722,114849000
Ivan,2004,Sep,28061,182000,92000
Ivan,2004,Sep,28063,0,0
Ivan,2004,Sep,28065,0,0
Ivan,2004,Sep,28067,1428000,748000
Ivan,2004,Sep,28069,0,0
Ivan,2004,Sep,28071,0,0
Ivan,2004,Sep,28073,970000,429000
Ivan,2004,Sep,28075,2383000,1178000
Ivan,2004,Sep,28077,0,0
Ivan,2004,Sep,28079,0,0
Ivan,2004,Sep,28081,0,0
Ivan,2004,Sep,28083,0,0
Ivan,2004,Sep,28085,0,0
Ivan,2004,Sep,28087,0,0
Ivan,2004,Sep,28089,0,0
Ivan,2004,Sep,28091,0,0
Ivan,2004,Sep,28093,0,0
Ivan,2004,Sep,28095,0,0
Ivan,2004,Sep,28097,0,0
Ivan,2004,Sep,28099,0,0
Ivan,2004,Sep,28101,0,0
Ivan,2004,Sep,28103,0,0
Ivan,2004,Sep,28105,0,0
Ivan,2004,Sep,28107,0,0
Ivan,2004,Sep,28109,1775000,898000
Ivan,2004,Sep,28111,981000,533000
Ivan,2004,Sep,28113,0,0
Ivan,2004,Sep,28115,0,0
Ivan,2004,Sep,28117,0,0
Ivan,2004,Sep,28119,0,0
Ivan,2004,Sep,28121,0,0
Ivan,2004,Sep,28123,0,0
Ivan,2004,Sep,28125,0,0
Ivan,2004,Sep,28127,0,0
Ivan,2004,Sep,28129,0,0
Ivan,2004,Sep,28131,2199000,1194000
Ivan,2004,Sep,28133,0,0
Ivan,2004,Sep,28135,0,0
Ivan,2004,Sep,28137,0,0
Ivan,2004,Sep,28139,0,0
Ivan,2004,Sep,28141,0,0
Ivan,2004,Sep,28143,0,0
Ivan,2004,Sep,28145,0,0
Ivan,2004,Sep,28147,0,0
Ivan,2004,Sep,28149,0,0
Ivan,2004,Sep,28151,0,0
Ivan,2004,Sep,28153,2001000,1187000
Ivan,2004,Sep,28155,0,0
Ivan,2004,Sep,28157,0,0
Ivan,2004,Sep,28159,0,0
Ivan,2004,Sep,28161,0,0
Ivan,2004,Sep,28163,0,0
Dennis,2005,Jul,01003,6661997,3913000
Dennis,2005,Jul,01097,0,0
Dennis,2005,Jul,12005,4180999,2434000
Dennis,2005,Jul,12033,209729341,142628000
Dennis,2005,Jul,12059,849000,407000
Dennis,2005,Jul,12091,179703764,129061000
Dennis,2005,Jul,12113,552454051,378770000
Dennis,2005,Jul,12131,19534852,13472000
Dennis,2005,Jul,12133,479000,226000
Katrina,2005,Aug,01001,662000,302000
Katrina,2005,Aug,01003,130152954,89753000
Katrina,2005,Aug,01005,0,0
Katrina,2005,Aug,01007,1561000,971000
Katrina,2005,Aug,01009,950000,449000
Katrina,2005,Aug,01011,0,0
Katrina,2005,Aug,01013,724000,364000
Katrina,2005,Aug,01015,0,0
Katrina,2005,Aug,01017,0,0
Katrina,2005,Aug,01019,0,0
Katrina,2005,Aug,01021,1476000,808000
Katrina,2005,Aug,01023,14125780,10096000
Katrina,2005,Aug,01025,2996994,2123000
Katrina,2005,Aug,01027,67000,30000
Katrina,2005,Aug,01029,0,0
Katrina,2005,Aug,01031,33000,2000
Katrina,2005,Aug,01033,5592982,4960000
Katrina,2005,Aug,01035,464000,248000
Katrina,2005,Aug,01037,529000,267000
Katrina,2005,Aug,01039,1175000,574000
Katrina,2005,Aug,01041,322000,163000
Katrina,2005,Aug,01043,2673000,1672000
Katrina,2005,Aug,01045,0,0
Katrina,2005,Aug,01047,1101000,732000
Katrina,2005,Aug,01049,0,0
Katrina,2005,Aug,01051,1361000,699000
Katrina,2005,Aug,01053,3386993,2286000
Katrina,2005,Aug,01055,122000,62000
Katrina,2005,Aug,01057,5906977,4268000
Katrina,2005,Aug,01059,3409987,2572000
Katrina,2005,Aug,01061,0,0
Katrina,2005,Aug,01063,3683910,2698000
Katrina,2005,Aug,01065,2736969,2072000
Katrina,2005,Aug,01067,0,0
Katrina,2005,Aug,01069,0,0
Katrina,2005,Aug,01071,0,0
Katrina,2005,Aug,01073,22714000,13058000
Katrina,2005,Aug,01075,2889984,2202000
Katrina,2005,Aug,01077,7953962,7412000
Katrina,2005,Aug,01079,2063000,1611000
Katrina,2005,Aug,01081,0,0
Katrina,2005,Aug,01083,3252000,2700000
Katrina,2005,Aug,01085,235000,107000
Katrina,2005,Aug,01087,0,0
Katrina,2005,Aug,01089,1108000,364000
Katrina,2005,Aug,01091,3630963,2796000
Katrina,2005,Aug,01093,5257968,3874000
Katrina,2005,Aug,01095,198000,29000
Katrina,2005,Aug,01097,475967260,327884000
Katrina,2005,Aug,01099,1471000,988000
Katrina,2005,Aug,01101,357000,91000
Katrina,2005,Aug,01103,2507000,1706000
Katrina,2005,Aug,01105,687000,451000
Katrina,2005,Aug,01107,8710803,6179000
Katrina,2005,Aug,01109,0,0
Katrina,2005,Aug,01111,0,0
Katrina,2005,Aug,01113,0,0
Katrina,2005,Aug,01115,2083000,923000
Katrina,2005,Aug,01117,7449000,3963000
Katrina,2005,Aug,01119,13006268,8300000
Katrina,2005,Aug,01121,2283000,1140000
Katrina,2005,Aug,01123,0,0
Katrina,2005,Aug,01125,37633777,28901000
Katrina,2005,Aug,01127,8289996,5293000
Katrina,2005,Aug,01129,11404861,7544000
Katrina,2005,Aug,01131,951000,563000
Katrina,2005,Aug,01133,3083993,2125000
Katrina,2005,Aug,22001,0,0
Katrina,2005,Aug,22003,0,0
Katrina,2005,Aug,22005,28107000,21306000
Katrina,2005,Aug,22007,2899000,1999000
Katrina,2005,Aug,22009,0,0
Katrina,2005,Aug,22011,0,0
Katrina,2005,Aug,22013,0,0
Katrina,2005,Aug,22015,0,0
Katrina,2005,Aug,22017,0,0
Katrina,2005,Aug,22019,0,0
Katrina,2005,Aug,22021,0,0
Katrina,2005,Aug,22023,0,0
Katrina,2005,Aug,22025,0,0
Katrina,2005,Aug,22027,0,0
Katrina,2005,Aug,22029,6000,4000
Katrina,2005,Aug,22031,0,0
Katrina,2005,Aug,22033,42065999,31259000
Katrina,2005,Aug,22035,0,0
Katrina,2005,Aug,22037,2877000,1855000
Katrina,2005,Aug,22039,0,0
Katrina,2005,Aug,22041,0,0
Katrina,2005,Aug,22043,0,0
Katrina,2005,Aug,22045,0,0
Katrina,2005,Aug,22047,1603000,1089000
Katrina,2005,Aug,22049,0,0
Katrina,2005,Aug,22051,1315478983,999752000
Katrina,2005,Aug,22053,0,0
Katrina,2005,Aug,22055,0,0
Katrina,2005,Aug,22057,81977935,62930000
Katrina,2005,Aug,22059,0,0
Katrina,2005,Aug,22061,0,0
Katrina,2005,Aug,22063,61580510,39795000
Katrina,2005,Aug,22065,0,0
Katrina,2005,Aug,22067,0,0
Katrina,2005,Aug,22069,0,0
Katrina,2005,Aug,22071,1193692371,882776000
Katrina,2005,Aug,22073,0,0
Katrina,2005,Aug,22075,277946579,184067000
Katrina,2005,Aug,22077,217000,96000
Katrina,2005,Aug,22079,0,0
Katrina,2005,Aug,22081,0,0
Katrina,2005,Aug,22083,0,0
Katrina,2005,Aug,22085,0,0
Katrina,2005,Aug,22087,275589968,192649000
Katrina,2005,Aug,22089,84088408,65784000
Katrina,2005,Aug,22091,7318928,5093000
Katrina,2005,Aug,22093,12122783,9222000
Katrina,2005,Aug,22095,47218184,39798000
Katrina,2005,Aug,22097,0,0
Katrina,2005,Aug,22099,133000,89000
Katrina,2005,Aug,22101,1347000,1008000
Katrina,2005,Aug,22103,1672655900,1102134000
Katrina,2005,Aug,22105,144316763,98346000
Katrina,2005,Aug,22107,1000,1000
Katrina,2005,Aug,22109,51073410,42171000
Katrina,2005,Aug,22111,0,0
Katrina,2005,Aug,22113,0,0
Katrina,2005,Aug,22115,0,0
Katrina,2005,Aug,22117,176330827,115936000
Katrina,2005,Aug,22119,0,0
Katrina,2005,Aug,22121,611000,430000
Katrina,2005,Aug,22123,0,0
Katrina,2005,Aug,22125,554000,324000
Katrina,2005,Aug,22127,0,0
Katrina,2005,Aug,28001,358000,194000
Katrina,2005,Aug,28003,851000,447000
Katrina,2005,Aug,28005,7671997,4706000
Katrina,2005,Aug,28007,1813000,1072000
Katrina,2005,Aug,28009,0,0
Katrina,2005,Aug,28011,0,0
Katrina,2005,Aug,28013,376000,190000
Katrina,2005,Aug,28015,151000,61000
Katrina,2005,Aug,28017,729000,470000
Katrina,2005,Aug,28019,767000,465000
Katrina,2005,Aug,28021,226000,107000
Katrina,2005,Aug,28023,21149355,14096000
Katrina,2005,Aug,28025,2671994,2031000
Katrina,2005,Aug,28027,0,0
Katrina,2005,Aug,28029,6680968,4721000
Katrina,2005,Aug,28031,66830824,42579000
Katrina,2005,Aug,28033,0,0
Katrina,2005,Aug,28035,685271912,400926000
Katrina,2005,Aug,28037,1193000,740000
Katrina,2005,Aug,28039,119132852,70786000
Katrina,2005,Aug,28041,60184476,36120000
Katrina,2005,Aug,28043,0,0
Katrina,2005,Aug,28045,890337802,538607000
Katrina,2005,Aug,28047,4246548674,2467403000
Katrina,2005,Aug,28049,17541985,12379000
Katrina,2005,Aug,28051,567000,315000
Katrina,2005,Aug,28053,0,0
Katrina,2005,Aug,28055,0,0
Katrina,2005,Aug,28057,1416000,923000
Katrina,2005,Aug,28059,860300276,518752000
Katrina,2005,Aug,28061,30946755,20313000
Katrina,2005,Aug,28063,380000,206000
Katrina,2005,Aug,28065,31080468,20079000
Katrina,2005,Aug,28067,340133645,188576000
Katrina,2005,Aug,28069,6860685,4269000
Katrina,2005,Aug,28071,0,0
Katrina,2005,Aug,28073,611392914,376054000
Katrina,2005,Aug,28075,100637299,69067000
Katrina,2005,Aug,28077,16565342,11244000
Katrina,2005,Aug,28079,8072995,5384000
Katrina,2005,Aug,28081,2387000,1364000
Katrina,2005,Aug,28083,0,0
Katrina,2005,Aug,28085,16735692,11224000
Katrina,2005,Aug,28087,17011874,13187000
Katrina,2005,Aug,28089,15501998,10008000
Katrina,2005,Aug,28091,167926175,98160000
Katrina,2005,Aug,28093,0,0
Katrina,2005,Aug,28095,3249997,2371000
Katrina,2005,Aug,28097,560000,283000
Katrina,2005,Aug,28099,18102513,12181000
Katrina,2005,Aug,28101,22910418,15260000
Katrina,2005,Aug,28103,5897778,4227000
Katrina,2005,Aug,28105,7274989,5185000
Katrina,2005,Aug,28107,0,0
Katrina,2005,Aug,28109,724058682,427971000
Katrina,2005,Aug,28111,98998257,58475000
Katrina,2005,Aug,28113,59793628,38360000
Katrina,2005,Aug,28115,758000,395000
Katrina,2005,Aug,28117,1395000,806000
Katrina,2005,Aug,28119,0,0
Katrina,2005,Aug,28121,29964795,22772000
Katrina,2005,Aug,28123,16931598,11149000
Katrina,2005,Aug,28125,0,0
Katrina,2005,Aug,28127,36875917,24980000
