storm,year,month,fips,avg_gustW_peak,avg_sustW_max,max_gustW_peak,max_sustW_max
Ivan,2004,Sep,01001,68.29411764705883,53.529411764705884,72,57
Ivan,2004,Sep,01003,107.55813953488372,84.51162790697674,115,90
Ivan,2004,Sep,01005,51,40.111111111111114,55,43
Ivan,2004,Sep,01007,61,48.125,64,50
Ivan,2004,Sep,01009,49.375,38.9375,51,40
Ivan,2004,Sep,01011,55.25,43.5,57,45
Ivan,2004,Sep,01013,77.55555555555556,61.111111111111114,81,64
Ivan,2004,Sep,01015,57.55263157894737,45.55263157894737,58,46
Ivan,2004,Sep,01017,50.77777777777778,39.77777777777778,53,42
Ivan,2004,Sep,01019,55.375,43.375,56,44
Ivan,2004,Sep,01021,65.83333333333333,51.833333333333336,68,53
Ivan,2004,Sep,01023,66.5,52.5,70,55
Ivan,2004,Sep,01025,82.11111111111111,64.66666666666667,89,70
Ivan,2004,Sep,01027,58.75,46.25,61,48
Ivan,2004,Sep,01029,54.25,42.5,55,43
Ivan,2004,Sep,01031,61.4375,48.25,67,53
Ivan,2004,Sep,01035,89.2,70.2,94,74
Ivan,2004,Sep,01037,63,49.666666666666664,64,50
Ivan,2004,Sep,01039,72.57142857142857,56.92857142857143,78,61
Ivan,2004,Sep,01041,68.16666666666667,53.666666666666664,70,55
Ivan,2004,Sep,01043,43.45454545454545,34.13636363636363,47,37
Ivan,2004,Sep,01045,56.285714285714285,44.285714285714285,59,46
Ivan,2004,Sep,01047,74.23529411764706,58.35294117647059,77,61
Ivan,2004,Sep,01049,49.714285714285715,39.142857142857146,53,42
Ivan,2004,Sep,01051,63.85,50.25,67,53
Ivan,2004,Sep,01053,96.9,76.2,101,79
Ivan,2004,Sep,01055,54.121212121212125,42.36363636363637,56,44
Ivan,2004,Sep,01057,42.4,33.2,45,35
Ivan,2004,Sep,01061,60.333333333333336,47.5,66,52
Ivan,2004,Sep,01063,56,44,59,46
Ivan,2004,Sep,01065,62,49,67,53
Ivan,2004,Sep,01067,50.666666666666664,39.833333333333336,52,41
Ivan,2004,Sep,01069,53.15384615384615,41.69230769230769,56,44
Ivan,2004,Sep,01071,42.07142857142857,32.92857142857143,46,36
Ivan,2004,Sep,01073,54.735449735449734,42.91534391534392,58,46
Ivan,2004,Sep,01075,42,33,42,33
Ivan,2004,Sep,01081,51.145833333333336,40.354166666666664,55,43
Ivan,2004,Sep,01085,73.5,57.75,77,61
Ivan,2004,Sep,01087,55,43.166666666666664,58,46
Ivan,2004,Sep,01089,40.5,31.5,41,32
Ivan,2004,Sep,01091,69.625,54.75,77,61
Ivan,2004,Sep,01095,46.11538461538461,36.38461538461539,50,39
Ivan,2004,Sep,01097,97.40298507462687,76.50746268656717,109,86
Ivan,2004,Sep,01099,91.66666666666667,72,95,75
Ivan,2004,Sep,01101,63.74647887323944,50.15492957746479,67,53
Ivan,2004,Sep,01103,40.666666666666664,31.666666666666668,41,32
Ivan,2004,Sep,01105,67.75,53,70,55
Ivan,2004,Sep,01107,46,36.166666666666664,48,38
Ivan,2004,Sep,01109,60.45454545454545,47.63636363636363,63,50
Ivan,2004,Sep,01111,53,41.5,54,42
Ivan,2004,Sep,01113,48.05555555555556,38,51,40
Ivan,2004,Sep,01115,55.416666666666664,43.458333333333336,61,48
Ivan,2004,Sep,01117,58.89090909090909,46.345454545454544,63,50
Ivan,2004,Sep,01119,55.8,44,58,46
Ivan,2004,Sep,01121,61.125,48.083333333333336,64,50
Ivan,2004,Sep,01123,58.166666666666664,45.75,60,47
Ivan,2004,Sep,01125,53.898305084745765,42.23728813559322,57,45
Ivan,2004,Sep,01127,45.75,36.05,50,39
Ivan,2004,Sep,01129,80.2,63.2,88,69
Ivan,2004,Sep,01131,81.8,64.4,85,67
Ivan,2004,Sep,01133,41,32,42,33
Ivan,2004,Sep,12005,62.02040816326531,48.775510204081634,69,54
Ivan,2004,Sep,12013,51.75,40.5,54,42
Ivan,2004,Sep,12033,108.2948717948718,85.08974358974359,114,90
Ivan,2004,Sep,12037,50.2,39.6,53,42
Ivan,2004,Sep,12039,45.7,36,48,38
Ivan,2004,Sep,12045,54,42.4,55,43
Ivan,2004,Sep,12059,60.714285714285715,47.42857142857143,64,50
Ivan,2004,Sep,12063,52.61538461538461,41.38461538461539,56,44
Ivan,2004,Sep,12073,43.050632911392405,34.037974683544306,46,36
Ivan,2004,Sep,12077,49.25,38.75,50,39
Ivan,2004,Sep,12091,83.7872340425532,65.82978723404256,93,73
Ivan,2004,Sep,12113,100.80555555555556,79.25,109,86
Ivan,2004,Sep,12129,44,34.75,45,35
Ivan,2004,Sep,12131,71.75,56.3,79,62
Ivan,2004,Sep,12133,58.285714285714285,46,61,48
Ivan,2004,Sep,28023,54.4,42.8,58,46
Ivan,2004,Sep,28031,45,35.2,47,37
Ivan,2004,Sep,28035,52.57142857142857,41.38095238095238,55,43
Ivan,2004,Sep,28039,80,62.833333333333336,84,66
Ivan,2004,Sep,28041,72.75,57.25,77,61
Ivan,2004,Sep,28045,60.8235294117647,47.88235294117647,64,50
Ivan,2004,Sep,28047,71.07407407407408,55.888888888888886,81,64
Ivan,2004,Sep,28059,87.23809523809524,68.54761904761905,94,74
Ivan,2004,Sep,28061,48.285714285714285,38,52,41
Ivan,2004,Sep,28065,41.333333333333336,32.333333333333336,43,34
Ivan,2004,Sep,28067,51.25,40.2,54,42
Ivan,2004,Sep,28069,46,36.5,48,38
Ivan,2004,Sep,28073,50.23529411764706,39.470588235294116,52,41
Ivan,2004,Sep,28075,50.6,39.68,54,42
Ivan,2004,Sep,28087,40.5,31.5,41,32
Ivan,2004,Sep,28091,43,33.833333333333336,45,35
Ivan,2004,Sep,28099,40.8,31.8,42,33
Ivan,2004,Sep,28101,43,33.833333333333336,45,35
Ivan,2004,Sep,28103,42.666666666666664,33.666666666666664,44,35
Ivan,2004,Sep,28109,51.75,40.75,55,43
Ivan,2004,Sep,28111,60.333333333333336,47.333333333333336,63,50
Ivan,2004,Sep,28123,40,31,40,31
Ivan,2004,Sep,28127,40.333333333333336,31.333333333333332,41,32
Ivan,2004,Sep,28129,43,33.8,45,35
Ivan,2004,Sep,28131,62.2,49,66,52
Ivan,2004,Sep,28147,42,33,42,33
Ivan,2004,Sep,28153,63.42857142857143,50,70,55
Dennis,2005,Jul,01003,52.18604651162791,41.02325581395349,66,52
Dennis,2005,Jul,01097,40.774193548387096,31.741935483870968,47,37
Dennis,2005,Jul,12005,56.83673469387755,44.63265306122449,65,51
Dennis,2005,Jul,12033,81.65384615384616,64.1923076923077,101,79
Dennis,2005,Jul,12059,52.857142857142854,41.57142857142857,57,45
Dennis,2005,Jul,12091,85.53191489361703,67.27659574468085,104,82
Dennis,2005,Jul,12113,101.97222222222223,80.19444444444444,117,92
Dennis,2005,Jul,12131,67.35,52.95,78,61
Dennis,2005,Jul,12133,51.142857142857146,40,54,42
Katrina,2005,Aug,01001,52.64705882352941,41.529411764705884,55,43
Katrina,2005,Aug,01003,75,58.906976744186046,81,64
Katrina,2005,Aug,01005,42.77777777777778,33.77777777777778,44,35
Katrina,2005,Aug,01007,62.875,49.5,65,51
Katrina,2005,Aug,01009,54.3125,42.625,59,46
Katrina,2005,Aug,01011,45.75,35.75,46,36
Katrina,2005,Aug,01013,52.666666666666664,41.44444444444444,54,42
Katrina,2005,Aug,01015,47.71052631578947,37.71052631578947,49,39
Katrina,2005,Aug,01017,44.22222222222222,34.888888888888886,46,36
Katrina,2005,Aug,01019,45.125,35.375,46,36
Katrina,2005,Aug,01021,55.5,43.583333333333336,58,46
Katrina,2005,Aug,01023,79.25,62.25,80,63
Katrina,2005,Aug,01025,68.88888888888889,54.333333333333336,72,57
Katrina,2005,Aug,01027,48.75,38.5,50,39
Katrina,2005,Aug,01029,45.5,35.5,46,36
Katrina,2005,Aug,01031,47.5,37.4375,50,39
Katrina,2005,Aug,01033,66.86666666666666,52.8,68,53
Katrina,2005,Aug,01035,58,45.6,61,48
Katrina,2005,Aug,01037,50.666666666666664,39.666666666666664,52,41
Katrina,2005,Aug,01039,51.92857142857143,40.785714285714285,54,42
Katrina,2005,Aug,01041,49.666666666666664,39,50,39
Katrina,2005,Aug,01043,57.27272727272727,45.04545454545455,61,48
Katrina,2005,Aug,01045,45.142857142857146,35.285714285714285,46,36
Katrina,2005,Aug,01047,58.64705882352941,46.1764705882353,63,50
Katrina,2005,Aug,01049,47.095238095238095,37.095238095238095,48,38
Katrina,2005,Aug,01051,50.55,39.8,52,41
Katrina,2005,Aug,01053,63.1,49.6,68,53
Katrina,2005,Aug,01055,48.54545454545455,38.484848484848484,51,40
Katrina,2005,Aug,01057,75.4,59.4,77,61
Katrina,2005,Aug,01059,67.81818181818181,53,70,55
Katrina,2005,Aug,01061,47.166666666666664,37.166666666666664,49,39
Katrina,2005,Aug,01063,78.5,61.75,81,64
Katrina,2005,Aug,01065,71,55.714285714285715,73,57
Katrina,2005,Aug,01067,42.333333333333336,33.333333333333336,43,34
Katrina,2005,Aug,01069,43.73076923076923,34.69230769230769,45,35
Katrina,2005,Aug,01071,49,38.75,52,41
Katrina,2005,Aug,01073,58.698412698412696,46.16931216931217,66,52
Katrina,2005,Aug,01075,73.5,57.75,76,60
Katrina,2005,Aug,01077,67.5,53,72,57
Katrina,2005,Aug,01079,62.72727272727273,49.36363636363637,65,51
Katrina,2005,Aug,01081,44.291666666666664,34.729166666666664,46,36
Katrina,2005,Aug,01083,59.69565217391305,46.91304347826087,64,50
Katrina,2005,Aug,01085,53,41.5,54,42
Katrina,2005,Aug,01087,46.166666666666664,36.166666666666664,48,38
Katrina,2005,Aug,01089,55.126315789473686,43.21052631578947,58,46
Katrina,2005,Aug,01091,71.375,56,74,58
Katrina,2005,Aug,01093,71.54545454545455,56.18181818181818,74,58
Katrina,2005,Aug,01095,50.53846153846154,39.73076923076923,53,42
Katrina,2005,Aug,01097,86.35074626865672,67.88805970149254,94,74
Katrina,2005,Aug,01099,62.22222222222222,49.111111111111114,67,53
Katrina,2005,Aug,01101,50.2112676056338,39.38028169014085,52,41
Katrina,2005,Aug,01103,57.41935483870968,45.096774193548384,60,47
Katrina,2005,Aug,01105,64,50.25,65,51
Katrina,2005,Aug,01107,79.83333333333333,62.666666666666664,82,64
Katrina,2005,Aug,01109,46.81818181818182,36.81818181818182,48,38
Katrina,2005,Aug,01111,45.5,35.5,46,36
Katrina,2005,Aug,01113,42.22222222222222,33.22222222222222,44,35
Katrina,2005,Aug,01115,52.666666666666664,41.375,54,42
Katrina,2005,Aug,01117,57.4,45.10909090909091,61,48
Katrina,2005,Aug,01119,83.2,65.4,85,67
Katrina,2005,Aug,01121,51.166666666666664,40.208333333333336,54,42
Katrina,2005,Aug,01123,48.083333333333336,38.083333333333336,49,39
Katrina,2005,Aug,01125,71.84745762711864,56.559322033898304,77,61
Katrina,2005,Aug,01127,65.3,51.4,71,56
Katrina,2005,Aug,01129,80.6,63.4,87,68
Katrina,2005,Aug,01131,61.6,48.4,65,51
Katrina,2005,Aug,01133,66.125,52,70,55
Katrina,2005,Aug,22005,67.44827586206897,52.96551724137931,72,57
Katrina,2005,Aug,22007,63.714285714285715,50,67,53
Katrina,2005,Aug,22009,41.7,32.6,45,35
Katrina,2005,Aug,22025,43.333333333333336,34.333333333333336,44,35
Katrina,2005,Aug,22029,48.666666666666664,38.333333333333336,51,40
Katrina,2005,Aug,22033,61.851851851851855,48.638888888888886,66,52
Katrina,2005,Aug,22035,42.333333333333336,33.333333333333336,43,34
Katrina,2005,Aug,22037,62.8,49.4,67,53
Katrina,2005,Aug,22041,42.333333333333336,33.333333333333336,44,35
Katrina,2005,Aug,22045,44.36363636363637,34.95454545454545,48,38
Katrina,2005,Aug,22047,57.55555555555556,45.22222222222222,62,49
Katrina,2005,Aug,22051,103.11904761904762,81.06349206349206,121,95
Katrina,2005,Aug,22055,40.52,31.52,42,33
Katrina,2005,Aug,22057,84.1923076923077,66.07692307692308,109,86
Katrina,2005,Aug,22063,71.11764705882354,55.94117647058823,81,64
Katrina,2005,Aug,22065,47,37,49,39
Katrina,2005,Aug,22071,105.79234972677595,83.27868852459017,114,90
Katrina,2005,Aug,22075,116.22222222222223,91.33333333333333,127,100
Katrina,2005,Aug,22077,52.142857142857146,41,55,43
Katrina,2005,Aug,22083,41.5,32.5,42,33
Katrina,2005,Aug,22087,109.58823529411765,86.17647058823529,116,91
Katrina,2005,Aug,22089,94.38461538461539,74.15384615384616,98,77
Katrina,2005,Aug,22091,77,60.666666666666664,80,63
Katrina,2005,Aug,22093,75.85714285714286,59.714285714285715,79,62
Katrina,2005,Aug,22095,87,68.27272727272727,90,71
Katrina,2005,Aug,22097,41,31.894736842105264,46,36
Katrina,2005,Aug,22099,44.8235294117647,35.411764705882355,60,47
Katrina,2005,Aug,22101,55.8125,43.9375,64,50
Katrina,2005,Aug,22103,105.3103448275862,82.75862068965517,114,90
Katrina,2005,Aug,22105,85.93548387096774,67.51612903225806,93,73
Katrina,2005,Aug,22107,49.666666666666664,39,51,40
Katrina,2005,Aug,22109,78.70588235294117,61.911764705882355,89,70
Katrina,2005,Aug,22113,41,32,41,32
Katrina,2005,Aug,22117,100.61538461538461,79.07692307692308,106,83
Katrina,2005,Aug,22121,57.166666666666664,45,59,46
Katrina,2005,Aug,22123,40,31,40,31
Katrina,2005,Aug,22125,54,42.57142857142857,57,45
Katrina,2005,Aug,28001,52.6,41.4,55,43
Katrina,2005,Aug,28003,52.7,41.5,55,43
Katrina,2005,Aug,28005,70.5,55.5,77,61
Katrina,2005,Aug,28007,62,49,66,52
Katrina,2005,Aug,28009,43.666666666666664,34.333333333333336,45,35
Katrina,2005,Aug,28013,52,40.8,55,43
Katrina,2005,Aug,28015,48,37.666666666666664,51,40
Katrina,2005,Aug,28017,59.2,46.6,62,49
Katrina,2005,Aug,28019,64,50.333333333333336,66,52
Katrina,2005,Aug,28021,56.333333333333336,44.333333333333336,57,45
Katrina,2005,Aug,28023,89.8,70.8,91,72
Katrina,2005,Aug,28025,68.4,53.8,71,56
Katrina,2005,Aug,28029,71.625,56.5,76,60
Katrina,2005,Aug,28031,101.4,79.6,106,83
Katrina,2005,Aug,28035,111.28571428571429,87.33333333333333,115,90
Katrina,2005,Aug,28037,64.66666666666667,50.666666666666664,69,54
Katrina,2005,Aug,28039,101.83333333333333,80.16666666666667,105,83
Katrina,2005,Aug,28041,98,77,101,79
Katrina,2005,Aug,28043,45.857142857142854,36,48,38
Katrina,2005,Aug,28045,118.94117647058823,93.58823529411765,123,97
Katrina,2005,Aug,28047,119.65432098765432,94.11111111111111,127,100
Katrina,2005,Aug,28049,65.53731343283582,51.656716417910445,68,53
Katrina,2005,Aug,28051,53.166666666666664,41.833333333333336,58,46
Katrina,2005,Aug,28053,44.666666666666664,35,45,35
Katrina,2005,Aug,28055,44,35,44,35
Katrina,2005,Aug,28057,62.333333333333336,49.166666666666664,65,51
Katrina,2005,Aug,28059,104.5,82.16666666666667,114,90
Katrina,2005,Aug,28061,93,73.14285714285714,96,75
Katrina,2005,Aug,28063,57,44.75,60,47
Katrina,2005,Aug,28065,96.5,75.75,102,80
Katrina,2005,Aug,28067,100.7,79.25,107,84
Katrina,2005,Aug,28069,83.5,65.5,84,66
Katrina,2005,Aug,28071,42.8,33.733333333333334,45,35
Katrina,2005,Aug,28073,111.76470588235294,87.88235294117646,114,90
Katrina,2005,Aug,28075,87.68,68.76,89,70
Katrina,2005,Aug,28077,88.66666666666667,70,90,71
Katrina,2005,Aug,28079,72.16666666666667,56.833333333333336,76,60
Katrina,2005,Aug,28081,57.869565217391305,45.608695652173914,62,49
Katrina,2005,Aug,28083,43.42857142857143,34.42857142857143,44,35
